Durchschnittlicher Mietpreis1) pro m2 in Franken nach Zimmerzahl und Kanton;;;;;;;;;;;;;;T 09.03.03.05;;;;;;;;;
2023;;;;;;;;;;;;;;;;;;;;;;;
;Bewohnte Mietwohnungen mit … Zimmer(n);;;;;;;;;;;;;;;;;;;;;;
Glarus;13,7 ;0,6 ;(23,7) ;(8,0) ;14,7 ;1,8 ;13,3 ;0,8 ;12,7 ;0,8 ;(15,3) ;(2,4) ;(13,5) ;(4,4) ;;;;;;;;;
Zug;20,7 ;0,2 ;24,8 ;3,3 ;23,5 ;0,8 ;21,2 ;0,4 ;19,8 ;0,3 ;19,3 ;0,6 ;21,7 ;2,1 ;;;;;;;;;
Freiburg;15,5 ;0,2 ;19,2 ;2,1 ;18,0 ;0,6 ;15,4 ;0,3 ;14,5 ;0,3 ;14,1 ;0,7 ;(13,5) ;(1,3) ;;;;;;;;;
Solothurn;14,6 ;0,2 ;19,1 ;1,8 ;16,2 ;0,6 ;14,5 ;0,3 ;14,0 ;0,3 ;13,9 ;0,6 ;12,9 ;1,3 ;;;;;;;;;
Basel-Stadt;19,2 ;0,2 ;23,1 ;1,4 ;20,0 ;0,5 ;18,6 ;0,3 ;18,7 ;0,5 ;19,1 ;1,3 ;(18,8) ;(1,9) ;;;;;;;;;
Basel-Landschaft;17,8 ;0,2 ;19,9 ;2,1 ;19,3 ;0,7 ;17,7 ;0,3 ;17,5 ;0,3 ;16,3 ;0,8 ;18,0 ;1,9 ;;;;;;;;;
Schaffhausen;14,6 ;0,4 ;(19,2) ;(2,4) ;16,9 ;1,3 ;14,7 ;0,5 ;13,8 ;0,5 ;13,3 ;1,2 ;(14,9) ;(3,6) ;;;;;;;;;
Appenzell A.Rh.;13,4 ;0,5 ;(13,7) ;(2,0) ;14,3 ;1,5 ;14,5 ;1,0 ;12,7 ;0,7 ;12,7 ;1,1 ;(12,6) ;(1,1) ;;;;;;;;;
Appenzell I.Rh.;15,6 ;1,2 ;X   ;*   ;(17,9) ;(2,5) ;(16,5) ;(2,2) ;(13,5) ;(1,5) ;(13,5) ;(1,6) ;(20,6) ;(11,3) ;;;;;;;;;
St.Gallen;15,0 ;0,2 ;17,1 ;1,6 ;16,7 ;0,6 ;15,6 ;0,3 ;14,4 ;0,2 ;13,6 ;0,4 ;13,4 ;0,8 ;;;;;;;;;
Graubünden;16,2 ;0,3 ;18,8 ;2,2 ;18,6 ;1,0 ;16,6 ;0,5 ;15,4 ;0,4 ;14,3 ;0,9 ;(12,9) ;(2,0) ;;;;;;;;;
Aargau;16,2 ;0,1 ;19,1 ;1,1 ;18,7 ;0,3 ;16,5 ;0,1 ;15,4 ;0,1 ;14,4 ;0,3 ;14,3 ;0,6 ;;;;;;;;;
Thurgau;14,5 ;0,2 ;17,6 ;2,1 ;16,5 ;0,6 ;14,6 ;0,4 ;14,0 ;0,3 ;13,4 ;0,6 ;13,4 ;1,0 ;;;;;;;;;
Tessin;14,3 ;0,2 ;13,1 ;0,9 ;14,8 ;0,4 ;14,3 ;0,2 ;14,2 ;0,2 ;14,5 ;0,7 ;14,7 ;1,4 ;;;;;;;;;
Waadt;18,8 ;0,1 ;25,4 ;0,7 ;20,6 ;0,2 ;18,7 ;0,1 ;17,4 ;0,2 ;17,0 ;0,4 ;17,9 ;0,9 ;;;;;;;;;
Wallis;14,9 ;0,2 ;19,4 ;1,7 ;16,8 ;0,6 ;15,0 ;0,4 ;13,5 ;0,3 ;12,9 ;0,7 ;(19,2) ;(4,1) ;;;;;;;;;
Neuenburg;13,3 ;0,2 ;14,5 ;1,3 ;14,0 ;0,4 ;13,1 ;0,2 ;13,4 ;0,3 ;12,7 ;0,4 ;12,5 ;1,7 ;;;;;;;;;
Genf;20,8 ;0,2 ;24,4 ;1,1 ;22,4 ;0,5 ;20,8 ;0,3 ;19,7 ;0,3 ;19,9 ;0,4 ;22,2 ;0,9 ;;;;;;;;;
Jura;12,1 ;0,5 ;(13,1) ;(2,4) ;12,7 ;1,2 ;12,9 ;0,9 ;11,6 ;0,6 ;10,9 ;2,0 ;(10,2) ;(1,8) ;;;;;;;;;
Aufgrund methodischer Änderungen ab dem Jahr 2018 im Bereich der Erhebungsmethode, der Gewichtung sowie der Detektierung von Ausreissern können die Ergebnisse nur bedingt mit den Erhebungen vor 2018 verglichen werden.;;;;;;;;;;;;;;;;;;;;;;;
Da der Fragebogen 2015 angepasst wurde, können die Ergebnisse nur bedingt mit den Erhebungen vor 2015 verglichen werden.;;;;;;;;;;;;;;;;;;;;;;;
Die Strukturerhebung umfasst Personen ab 15 Jahren, die in einem Privathaushalt der ständigen Wohnbevölkerung leben. ;;;;;;;;;;;;;;;;;;;;;;;
Nicht berücksichtigt wurden Personen, die in Kollektivhaushalten leben, Diplomaten, internationale Funktionäre sowie deren Angehörige. ;;;;;;;;;;;;;;;;;;;;;;;
Die Befragten gaben Auskunft zu ihrer Person, zum Haushalt, zu den Haushaltsmitgliedern sowie zur Wohnsituation. ;;;;;;;;;;;;;;;;;;;;;;;
1) Monatlicher Netto-Mietzins (ohne Neben- und Heizkosten) der Mieter- und Genossenschafterwohnungen. ;;;;;;;;;;;;;;;;;;;;;;;
( ): Extrapolation aufgrund von weniger als 50 Beobachtungen. Die Resultate sind mit grosser Vorsicht zu interpretieren.;;;;;;;;;;;;;;;;;;;;;;;
X: Extrapolation aufgrund von weniger als 5 Beobachtungen. Die Resultate werden aus Gründen des Datenschutzes nicht publiziert.;;;;;;;;;;;;;;;;;;;;;;;
*: Entfällt, weil trivial oder Begriffe nicht anwendbar.;;;;;;;;;;;;;;;;;;;;;;;
Quellen: BFS – SE, GWS;;;;;;;;;;;;;;;;;;;;;;;
© BFS 2025;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Auskunft: Bundesamt für Statistik (BFS), Sektion POP, info.gws@bfs.admin.ch, Tel. 058 467 25 25;;;;;;;;;;;;;;;;;;;;;;;
